kmeans,wall_time,cpuconsumptiontime,cpu_eff,IObytesRead,IObytesReadRate,IOcharRead,timeStageOut,workDirSize,dbTime,maxrss,maxvmem
0,1413.0,331.375,0.23546264041666673,1984.911,2536.644041666667,992.8190416666666,74.375,604.5754190833334,15.523333333333332,812.8940000000001,3114.1288333333337
1,1288.8461538461538,236.84615384615384,0.18518402153846153,1873.2723076923078,4301.466384615385,956.0465384615384,57.46153846153846,602.6984982307692,8.71076923076923,813.6723076923076,3060.361846153846
2,517.6,219.95,0.42586649899999995,1386.8210000000001,5307.04005,871.1087499999998,38.6,7.355392,7.109,835.8044,3141.226
3,393.375,147.625,0.37727513375000005,1702.7455,9436.757125,914.6976249999999,21.75,7.513599999999999,6.323750000000001,768.1455000000001,2177.1279999999997
4,5726.076923076923,200.69230769230768,0.037475801538461535,2730.3366153846155,647.766923076923,1546.1284615384614,136.30769230769232,609.0595408461538,25.893076923076926,861.4347692307692,3311.4772307692306
5,996.8333333333334,225.0,0.22881884777777778,2141.6937777777775,4384.198611111111,1507.295944444444,51.166666666666664,605.1371388888889,9.147777777777778,813.2971111111109,3077.0237777777775
6,768.0,159.0,0.21075313166666668,1629.2686666666666,5559.545333333333,815.708,30.0,605.4781655,19.735,804.3293333333335,2178.148
7,2267.0,174.2,0.08269406920000001,1617.148,1021.3606,803.518,34.0,610.98757,153.316,817.6719999999999,3097.6248
8,566.1875,223.9375,0.39647602687499994,2108.197,6774.5126875000005,1500.5431875,38.9375,7.414528,8.094375000000001,820.4507499999999,3113.64575
9,2705.5714285714284,309.57142857142856,0.12176479757142858,2334.6617142857144,1985.292714285714,1532.5512857142858,96.57142857142857,604.3118908571429,18.685714285714287,816.8794285714285,3125.1400000000003
10,516.0,138.71428571428572,0.2709188414285714,1429.7959999999998,7571.899,993.1737142857143,30.142857142857142,8.118857142857141,5.032857142857144,821.2097142857143,2177.0480000000002
11,917.4117647058823,306.70588235294116,0.3355363476470588,1859.9774117647057,3790.4162941176464,944.9927647058823,60.64705882352941,603.9454626470588,7.186470588235295,820.5771764705884,3079.8442352941174
12,706.9047619047619,221.0952380952381,0.3140478076190476,1970.4721904761911,6335.495857142857,956.9199523809525,41.23809523809524,602.3728757619045,7.615238095238097,813.2569523809524,3099.317523809523
13,1275.111111111111,199.55555555555554,0.16503269333333334,1666.1573333333336,1885.4831111111114,910.331888888889,28.333333333333332,600.0062008888889,127.77555555555556,801.4720000000001,2177.664444444444
14,565.0454545454545,234.45454545454547,0.4155867056818181,1850.608727272727,6073.517727272728,935.6283863636367,39.77272727272727,7.3573469090909125,7.569772727272729,816.4441818181817,3091.788272727272
15,1845.3846153846155,221.84615384615384,0.137055856,1843.716923076923,6205.5944615384615,913.0448461538462,39.23076923076923,18.96637046153846,6.863846153846154,811.5698461538461,3058.842769230769
16,2162.733333333333,240.26666666666668,0.11501470106666667,1992.6045333333338,2049.4646666666663,1006.9493999999999,79.0,606.6390789333333,9.09,825.9965333333333,3137.1343999999995
17,2305.25,203.5,0.089945594,2216.4269999999997,1226.1060000000002,1532.9917500000001,57.0,607.172482,116.17250000000001,820.17,3141.5209999999997
18,2394.9,317.6,0.1442049645,2359.6023999999998,2385.0008000000003,1255.3734,79.2,610.3826224000001,11.625999999999998,808.7596,3133.2732000000005
19,2035.9,198.2,0.10413052785000002,1930.257,2080.67795,997.2943499999999,90.45,607.1487659999999,7.0760000000000005,814.9343999999999,3060.0424
20,1551.8461538461538,317.0,0.20706113153846156,2357.9855384615385,2824.8624615384615,1536.494384615385,73.23076923076923,607.5907304615386,9.285384615384615,829.0018461538461,3178.2181538461537
21,408.1578947368421,152.73684210526315,0.3761850147368422,1366.7985263157898,7125.849578947368,726.7652631578947,27.473684210526315,7.512710736842107,5.589473684210526,823.9957894736845,2174.748421052632
22,438.5,198.0,0.4536271866666666,1324.356,5498.219666666667,1402.1404999999997,28.333333333333332,7.396693333333334,5.886666666666668,825.9946666666666,2174.362
23,856.8148148148148,228.62962962962962,0.26839985,1822.3034074074076,4748.412814814815,930.0951481481482,43.333333333333336,604.1080495555557,9.746296296296295,814.0312592592592,3106.65125925926
24,17981.0,152.0,0.008453367,3676.62,250.556,1717.212,1706.0,605.623628,63.37,847.128,3341.596
25,467.5,149.25,0.3258809225,1640.657,9118.446750000001,748.86325,27.25,7.724031999999999,6.1025,856.396,3203.393
26,3384.5833333333335,322.75,0.10094625125000001,2808.5336666666667,1268.16675,1452.10375,123.58333333333333,608.00129475,18.93083333333333,862.239,3302.0083333333337
27,688.5714285714286,223.57142857142858,0.3250797085714286,2028.1828571428573,6229.709714285715,1363.0407142857143,43.0,594.9231092857143,7.275714285714287,789.2342857142858,3100.3742857142856
28,1912.0,183.0,0.0957113,2185.836,8743.344,1515.987,31.0,595.47648,7.2,814.892,2175.968
29,1415.25,217.75,0.16162663374999997,1958.9260000000002,2737.76275,995.06325,63.0,603.18082,8.358333333333334,894.6786666666666,3306.9146666666675
30,517.0,141.5,0.273449435,1696.896,6540.6595,1492.4275,27.0,7.473152,16.174999999999997,821.74,2178.038
31,1496.2,178.33333333333334,0.12576578893333334,2310.8424000000005,2949.1395333333335,1471.3561333333334,65.86666666666666,624.2489730666667,8.138,802.1322666666667,3060.8511999999996
32,743.7,141.7,0.195745899,1882.3616000000002,5554.4517000000005,949.2680999999999,44.3,600.2195548000001,7.920999999999999,789.1176,2865.1556
33,5941.6,189.6,0.0406073896,2296.6935999999996,658.9038,1176.8242,99.8,607.5622764000001,13.713999999999999,877.7656000000001,3300.9159999999997
34,875.2272727272727,240.0909090909091,0.27757088499999993,1850.716909090909,4749.266363636364,924.1498181818181,45.36363636363637,607.2942203181818,8.5,815.7761818181818,2827.8721818181825
35,750.7,153.3,0.213264632,1716.9292,9431.3763,817.7549,51.1,602.2308682,7.631,813.3384000000001,2176.6352
36,1862.6842105263158,220.10526315789474,0.12240745647368421,1842.8048421052633,6348.052684210526,927.409,40.36842105263158,604.5706928947369,7.19736842105263,819.1048421052631,3090.8058947368427
37,584.2857142857143,218.71428571428572,0.37573243285714286,1858.847142857143,6177.892071428571,902.1977857142857,34.642857142857146,7.419026285714287,6.684285714285714,804.9391428571428,2908.013142857143
38,2101.3333333333335,310.8,0.1520421262666667,2057.6146666666664,1825.8234,1038.8478,76.86666666666666,606.5768320000001,10.464666666666666,818.5951999999999,3116.479733333333
39,3332.75,214.625,0.06701452537500001,2381.2295,1276.7467499999998,1499.6786250000002,70.75,604.539698375,10.26625,910.7449999999999,3312.2365
40,407.75,196.25,0.4814041375,1142.7369999999999,4770.5515,857.7135,27.25,7.419904000000001,5.005,826.8050000000001,2176.8509999999997
41,904.2,183.6,0.20990817599999997,1575.7776,2681.3598,1200.044,29.0,606.5326062,51.78399999999999,810.7512,2178.7912
42,931.438596491228,226.71929824561403,0.2450860659649124,1820.0044210526312,6202.691824561406,905.0005438596494,46.87719298245614,601.5928703859648,7.55140350877193,819.0510877192982,3089.6695438596485
43,1352.0,174.0,0.12869823,1987.672,1823.813,1578.437,31.0,627.588381,545.48,800.604,2176.5
44,1687.6666666666667,152.33333333333334,0.09280737666666666,1532.2906666666668,1523.5863333333334,962.2959999999999,54.333333333333336,601.5589936666667,175.1833333333333,817.6986666666668,2186.441333333333
45,549.3333333333334,204.5,0.37377228791666667,1780.3658333333335,7398.518708333334,857.6065833333333,33.958333333333336,7.5185493333333335,6.274583333333333,825.2423333333331,3128.098
46,582.3571428571429,204.78571428571428,0.3518100342857142,1677.0694285714283,5851.896642857143,788.1635714285715,33.142857142857146,7.561801142857143,6.799285714285714,815.2917142857141,3074.174285714286
47,1142.1666666666667,309.5,0.27226084833333336,1954.95,2974.854,960.9886666666666,66.0,599.4728706666666,6.483333333333333,875.6413333333334,3283.8006666666665
48,2497.0,165.6,0.0733659146,1806.2423999999999,1102.4984,1009.7452,47.6,601.6245759999999,280.394,826.8639999999999,3135.008
49,1902.6,214.6,0.11452856699999998,2131.5592,7437.892000000002,1417.6366000000003,36.2,605.0433054,6.806,819.6536,3153.8672
